Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,Onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,MA_battery,CT_battery,ME_battery,Total
t61,-0.0,2628.1225046619847,9051.30221915,-0.0,-0.0,3948.0786788384667,0.0,0.0,0.0,15627.503402650453
t62,-0.0,2528.717468057191,9047.302219150002,-0.0,-0.0,4031.159062627336,0.0,0.0,-0.0,15607.17874983453
t63,-0.0,2242.316891281904,9034.302219150002,-0.0,-0.0,4276.430571065096,0.0,0.0,-0.0,15553.049681497003
t64,-0.0,1540.3706696832992,9077.30221915,-0.0,-0.0,5538.307694,0.0,0.0,-0.0,16155.980582833301
t65,1155.3174036724245,558.5422343654598,9322.302219150002,-0.0,-0.0,5655.307693999999,319.75027511211596,0.0,-0.0,17011.219826300003
t66,1805.1834432381634,-0.0,9590.30221915,-0.0,-0.0,5784.307694,1166.4264699118357,0.0,-0.0,18346.2198263
t67,1805.1834432381634,-0.0,9597.30221915,-0.0,-0.0,5787.307694,1191.4264699118362,0.0,-0.0,18381.2198263
t68,1805.1834432381634,-0.0,9536.30221915,-0.0,-0.0,5758.307694,975.4264699118369,0.0,-0.0,18075.2198263
t69,1805.1834432381634,-0.0,9419.302219150002,-0.0,-0.0,5702.307694,565.4264699118368,0.0,-0.0,17492.219826300003
t70,1651.6099131500007,-0.0,9213.30221915,-0.0,-0.0,5604.307693999999,0.0,0.0,-0.0,16469.219826300003
t71,690.6099131500004,-0.0,8939.30221915,-0.0,-0.0,5473.307694,0.0,0.0,-0.0,15103.2198263
t72,-0.0,-0.0,8699.30221915,-0.0,-0.0,5204.932529260673,0.0,0.0,-0.0,13904.234748410672
t73,-0.0,-0.0,8550.30221915,-0.0,-0.0,5286.307693999999,0.0,0.0,-0.0,13836.60991315
t74,-0.0,-0.0,8471.30221915,-0.0,-0.0,5249.307694,0.0,0.0,-0.0,13720.609913150001
t75,-0.0,-0.0,8431.30221915,-0.0,-0.0,5230.307693999999,0.0,0.0,-0.0,13661.60991315
t76,200.06965952193198,-0.0,8435.302219150002,-0.0,-0.0,4805.38720310398,0.0,0.0,-0.0,13440.759081775916
t77,229.14180307869975,-0.0,8504.30221915,-0.0,-0.0,5265.307694,0.0,0.0,-0.0,13998.7517162287
t78,265.0578213656059,-0.0,8716.30221915,-0.0,-0.0,5366.307693999999,0.0,0.0,-0.0,14347.667734515606
t79,265.0578213656059,-0.0,9102.30221915,-0.0,-0.0,5550.307694,994.5520917843935,0.0,-0.0,15912.2198263
t80,736.271726015572,-0.0,9312.30221915,-0.0,-0.0,5650.307693999999,1259.338187134428,0.0,-0.0,16958.2198263
t81,344.57516777528775,927.644542414407,9316.302219150002,-0.0,-0.0,5653.307693999999,737.3902029603046,0.0,-0.0,16979.2198263
t82,144.50550825335574,1834.1044048966448,9307.30221915,-0.0,-0.0,5648.307694,0.0,0.0,-0.0,16934.2198263
t83,115.43336469658796,2463.126439805668,9299.30221915,-0.0,-0.0,5644.307694,0.0,0.0,-0.0,17522.169717652258
t84,79.5173464096818,2766.6377196030908,9266.30221915,-0.0,-0.0,5629.307693999999,0.0,0.0,-0.0,17741.76497916277
t85,79.5173464096818,2740.971665069886,9219.30221915,-0.0,-0.0,4432.58491081281,0.0,0.0,-0.0,16472.37614144238
t86,79.5173464096818,2640.751833083086,9191.302219150002,-0.0,-0.0,5593.307694,0.0,0.0,-0.0,17504.87909264277
t87,79.5173464096818,2151.0598084971757,9165.302219150002,-0.0,-0.0,5580.307694,0.0,0.0,-0.0,16976.18706805686
t88,236.6794321261252,1361.9304810238746,9198.30221915,-0.0,-0.0,5596.307694,0.0,0.0,-0.0,16393.2198263
t89,1428.9335873514353,114.07135348091084,9427.30221915,-0.0,-0.0,5705.307694,853.6049723176537,0.0,-0.0,17529.219826300003
t90,1862.897117539547,-0.0,9612.30221915,-0.0,-0.0,5794.307693999999,1183.7127956104532,0.0,-0.0,18453.2198263
t91,1862.897117539547,-0.0,9583.30221915,-0.0,-0.0,5780.307693999999,1084.712795610453,0.0,0.0,18311.2198263
t92,1862.897117539547,-0.0,9498.30221915,-0.0,-0.0,5740.307694,786.712795610453,0.0,0.0,17888.2198263
t93,1862.897117539547,-0.0,9362.30221915,-0.0,-0.0,5674.307693999999,309.71279561045264,0.0,0.0,17209.2198263
t94,1382.6099131500005,-0.0,9137.302219150002,-0.0,-0.0,5567.307694,0.0,0.0,0.0,16087.219826300003
t95,376.60991315000024,-0.0,8850.30221915,-0.0,-0.0,5430.307694,0.0,0.0,0.0,14657.2198263
t96,-0.0,-0.0,8584.30221915,-0.0,-0.0,5281.573173844658,0.0,0.0,0.0,13865.875392994658
t97,-0.0,-0.0,8414.30221915,-0.0,-0.0,5221.307694,0.0,0.0,0.0,13635.609913150001
t98,-0.0,-0.0,8323.30221915,-0.0,-0.0,4968.14604170213,0.0,0.0,0.0,13291.44826085213
t99,-0.0,-0.0,8277.30221915,-0.0,-0.0,3497.6355519337003,0.0,0.0,0.0,11774.9377710837
t100,-0.0,-0.0,8269.30221915,-0.0,-0.0,4748.374750582802,0.0,0.0,0.0,13017.676969732802
t101,24.463167775287207,-0.0,8329.30221915,-0.0,-0.0,3681.2596192852398,0.0,0.0,0.0,12035.025006210528
t102,24.463167775287207,-0.0,8525.30221915,-0.0,-0.0,5275.307693999999,0.0,0.0,0.0,13825.073080925287
t103,24.463167775287207,-0.0,8898.30221915,-0.0,-0.0,5453.307693999999,522.146745374713,0.0,-0.0,14898.219826300001
t104,52.27172601557095,-0.0,9117.30221915,-0.0,-0.0,5557.307693999999,1259.338187134428,0.0,-0.0,15986.2198263
t105,24.463167775287207,420.84181480636033,9140.302219150002,-0.0,-0.0,5569.307694,947.3049305683527,0.0,-0.0,16102.219826300003
t106,24.463167775287207,1142.3431255731214,9154.30221915,-0.0,-0.0,5575.307693999999,275.8036198015906,0.0,-0.0,16172.2198263
t107,-0.0,1781.1427050662219,9139.30221915,-0.0,-0.0,5569.307694,0.0,0.0,-0.0,16489.752618216222
t108,-0.0,2408.942546902235,9095.302219150002,-0.0,-0.0,4670.387240526226,0.0,0.0,-0.0,16174.632006578464
t109,-0.0,2179.1702491764004,9055.30221915,-0.0,-0.0,5528.307693999999,0.0,0.0,-0.0,16762.780162326402
t110,-0.0,1977.50839212979,9040.302219150002,-0.0,-0.0,5521.307694,0.0,0.0,-0.0,16539.118305279793
t111,-0.0,1618.591026355924,9016.30221915,-0.0,-0.0,5509.307693999999,0.0,0.0,-0.0,16144.200939505923
t112,-0.0,1201.0083930775897,9036.30221915,-0.0,-0.0,5518.307694,0.0,0.0,-0.0,15755.618306227589
t113,830.2748600376507,365.43572882991793,9232.30221915,-0.0,-0.0,5613.307693999999,521.8993242824309,-0.0,-0.0,16563.2198263
