Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,Onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,MA_battery,CT_battery,ME_battery
263,1,0,1,0.464815438,0,1,1,1,1
264,1,0,1,0.495626986,0,1,1,1,1
265,1,0,1,0.773328662,0,1,1,1,1
266,1,0,1,0.922425091,0,1,1,1,1
267,1,0,1,0.975681365,0,1,1,1,1
268,1,0,1,0.998668909,0,1,1,1,1
269,1,0,1,0.96816361,0,1,1,1,1
270,1,0,1,0.995454729,0,1,1,1,1
271,1,0,1,0.987193763,0,1,1,1,1
272,1,0,1,0.9938519,0,1,1,1,1
273,1,0,1,0.997879922,0.0001,1,1,1,1
274,1,0.0026,1,0.994140625,0.0041,1,1,1,1
275,1,0.0598,1,0.999531507,0.0626,1,1,1,1
276,1,0.1045,1,1,0.0905,1,1,1,1
277,1,0.0515,1,1,0.1765,1,1,1,1
278,1,0.0671,1,0.999296963,0.3062,1,1,1,1
279,1,0.1956,1,0.987912178,0.369,1,1,1,1
280,1,0.1553,1,0.973082304,0.2813,1,1,1,1
281,1,0.0357,1,0.908562422,0.0903,1,1,1,1
282,1,0,1,0.863576651,0,1,1,1,1
283,1,0,1,0.441652387,0,1,1,1,1
284,1,0,1,0.133826673,0,1,1,1,1
285,1,0,1,0.18830952,0,1,1,1,1
286,1,0,1,0.080651544,0,1,1,1,1
287,1,0,1,0.102896959,0,1,1,1,1
288,1,0,1,0.292079359,0,1,1,1,1
289,1,0,1,0.240472272,0,1,1,1,1
290,1,0,1,0.247440055,0,1,1,1,1
291,1,0,1,0.237611532,0,1,1,1,1
292,1,0,1,0.436896056,0,1,1,1,1
293,1,0,1,0.34168756,0,1,1,1,1
294,1,0,1,0.466558039,0,1,1,1,1
295,1,0,1,0.813244164,0,1,1,1,1
296,1,0,1,0.302878886,0,1,1,1,1
297,1,0.0041,1,0.373046428,0.0067,1,1,1,1
298,1,0.0805,1,0.228007585,0.1502,1,1,1,1
299,1,0.2869,1,0.705251694,0.4189,1,1,1,1
300,1,0.4127,1,0.98025769,0.4948,1,1,1,1
301,1,0.5241,1,1,0.5722,1,1,1,1
302,1,0.5732,1,1,0.5483,1,1,1,1
303,1,0.4743,1,1,0.4087,1,1,1,1
304,1,0.305,1,1,0.313,1,1,1,1
305,1,0.0978,1,1,0.1318,1,1,1,1
306,1,0,1,1,0,1,1,1,1
307,1,0,1,1,0,1,1,1,1
308,1,0,1,1,0,1,1,1,1
309,1,0,1,1,0,1,1,1,1
310,1,0,1,1,0,1,1,1,1
311,1,0,1,1,0,1,1,1,1
312,1,0,1,0.990385175,0,1,1,1,1
313,1,0,1,0.974543273,0,1,1,1,1
314,1,0,1,1,0,1,1,1,1
315,1,0,1,0.998923659,0,1,1,1,1
316,1,0,1,1,0,1,1,1,1
317,1,0,1,0.9999156,0,1,1,1,1
318,1,0,1,0.989916205,0,1,1,1,1
319,1,0,1,0.989458561,0,1,1,1,1
320,1,0,1,0.752799571,0,1,1,1,1
321,1,0.1892,1,0.907200992,0.164,1,1,1,1
322,1,0.3808,1,0.940828919,0.3817,1,1,1,1
323,1,0.5055,1,0.985960245,0.5261,1,1,1,1
324,1,0.6058,1,0.993910849,0.6015,1,1,1,1
325,1,0.6621,1,0.985459149,0.6392,1,1,1,1
326,1,0.6563,1,0.984604716,0.6448,1,1,1,1
327,1,0.5704,1,0.991283655,0.5771,1,1,1,1
328,1,0.4009,1,0.977170289,0.422,1,1,1,1
329,1,0.1757,1,0.987855911,0.2093,1,1,1,1
330,1,0,1,0.838460803,0,1,1,1,1
331,1,0,1,0.869346082,0,1,1,1,1
332,1,0,1,0.794923484,0,1,1,1,1
333,1,0,1,0.913891792,0,1,1,1,1
334,1,0,1,0.940207124,0,1,1,1,1
335,1,0,1,0.90137291,0,1,1,1,1
336,1,0,1,0.939054847,0,1,1,1,1
337,1,0,1,0.998811007,0,1,1,1,1
338,1,0,1,0.999851406,0,1,1,1,1
339,1,0,1,1,0,1,1,1,1
340,1,0,1,1,0,1,1,1,1
341,1,0,1,1,0,1,1,1,1
342,1,0,1,1,0,1,1,1,1
343,1,0,1,0.998225033,0,1,1,1,1
344,1,0,1,0.949328542,0,1,1,1,1
345,1,0.2406,1,0.994878829,0.2384,1,1,1,1
346,1,0.4691,1,0.993906379,0.4718,1,1,1,1
347,1,0.6312,1,0.911872685,0.6341,1,1,1,1
348,1,0.7083,1,0.806655169,0.7179,1,1,1,1
349,1,0.7193,1,0.99997896,0.7315,1,1,1,1
350,1,0.7062,1,0.946918428,0.7192,1,1,1,1
351,1,0.6127,1,0.998580515,0.6369,1,1,1,1
352,1,0.4407,1,0.999340951,0.4702,1,1,1,1
353,1,0.1983,1,1,0.2351,1,1,1,1
354,1,0,1,0.98964864,0,1,1,1,1
355,1,0,1,0.993235052,0,1,1,1,1
356,1,0,1,0.898518324,0,1,1,1,1
357,1,0,1,0.944250226,0,1,1,1,1
358,1,0,1,0.784093738,0,1,1,1,1
359,1,0,1,0.894709051,0,1,1,1,1
360,1,0,1,0.854348719,0,1,1,1,1
361,1,0,1,0.965387285,0,1,1,1,1
362,1,0,1,0.954362154,0,1,1,1,1
363,1,0,1,0.922331035,0,1,1,1,1
